"調査年月日","都道府県名","市区町村名","市町村コード","行政区コード","行政区名","0－4歳","5－9歳","10－14歳","15－19歳","20－24歳","25－29歳","30－34歳","35－39歳","40－44歳","45－49歳","50－54歳","55－59歳","60－64歳","65－69歳","70－74歳","75－79歳","80－84歳","85－89歳","90－94歳","95－99歳","100歳以上","計","世帯数"
"2019/04/01","京都府","舞鶴市","262021","101","上若宮","3","4","0","4","3","10","24","34","12","9","4","1","14","17","13","9","9","9","3","0","0","182","128"
"2019/04/01","京都府","舞鶴市","262021","102","道芝","6","7","8","9","7","4","11","10","13","18","11","14","20","10","32","22","14","8","6","2","0","232","116"
"2019/04/01","京都府","舞鶴市","262021","103","上九丁目","4","3","5","2","1","3","7","9","7","8","6","11","8","19","16","12","6","6","4","1","0","138","72"
"2019/04/01","京都府","舞鶴市","262021","104","東若宮","3","6","5","2","2","1","2","9","4","8","2","1","3","4","10","9","5","5","0","1","0","82","43"
"2019/04/01","京都府","舞鶴市","262021","105","西若宮","6","4","6","8","4","6","11","12","10","13","9","11","16","18","21","15","9","18","8","3","0","208","113"
"2019/04/01","京都府","舞鶴市","262021","106","中若宮","6","8","6","6","4","4","10","10","10","6","5","5","5","10","19","12","7","3","8","4","0","148","73"
"2019/04/01","京都府","舞鶴市","262021","107","榎川上","1","2","1","3","3","6","11","1","5","1","4","6","7","7","15","8","4","4","6","1","0","96","61"
"2019/04/01","京都府","舞鶴市","262021","108","榎川下","2","4","6","8","10","6","4","9","10","8","13","13","5","3","14","8","6","7","3","1","0","140","84"
"2019/04/01","京都府","舞鶴市","262021","109","本町３丁目","0","0","0","1","1","0","0","1","3","1","4","4","2","1","4","3","3","2","2","2","0","34","23"
"2019/04/01","京都府","舞鶴市","262021","110","本町４丁目","0","0","1","4","0","1","2","1","1","1","5","5","3","3","2","4","2","5","0","0","0","40","19"
"2019/04/01","京都府","舞鶴市","262021","111","本町５丁目","0","1","1","0","1","0","1","2","0","2","3","2","3","0","3","2","3","5","0","0","1","30","19"
"2019/04/01","京都府","舞鶴市","262021","112","奥母","5","7","6","2","4","5","7","9","7","1","12","9","6","9","4","9","8","6","3","1","1","121","62"
"2019/04/01","京都府","舞鶴市","262021","113","花木","7","2","12","15","7","10","4","12","20","8","13","16","11","12","18","20","17","10","10","3","0","227","114"
