"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英字","種別","町字ID","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","高度の種別","高度の値","アクセス方法","駐車場情報","電話番号","内線番号","FAX番号","連絡先メールアドレス","連絡先FormURL","連絡先備考（その他、SNSなど）","郵便番号","法人番号","団体名","認可等年月日","収容定員","受入年齢","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","一時預かりの有無","子供預かり料金種別","子供預かり料金","子供預かり料金備考","子供預かり開所時間","子供預かり閉所時間","病児保育の有無","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","URL","画像","画像_ライセンス","備考"
"262021","A000000001","京都府舞鶴市","うみべのもり保育所","ウミベノモリホイクショ","","認可公立保育所","0107000","京都府","舞鶴市","字浜","2022","","35.477822","135.389517","","","","","(0773)62-0464","","(0773)62-0390","","","","6250036","","","","150","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000002","京都府舞鶴市","中保育所","ナカホイクショ","","認可公立保育所","0006000","京都府","舞鶴市","字余部下","1063","","35.476517","135.362456","","","","","(0773)62-0292","","(0773)62-0292","","","","6250087","","","","200","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000003","京都府舞鶴市","舞鶴こども園","マイヅルコドモエン","","認定こども園（幼保連携型）","0014000","京都府","舞鶴市","字円満寺","100-4","","35.449774","135.331718","","","","","(0773)75-0525","","(0773)75-0526","","","","6240854","","","","93","6か月から","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000004","京都府舞鶴市","やまもも保育園","ヤマモモホイクエン","","認可私立保育所","0120000","京都府","舞鶴市","字溝尻","1106","","35.46349","135.409417","","","","","(0773)62-0524","","(0773)77-5433","","","","6250035","","","","80","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000005","京都府舞鶴市","八雲保育園","ヤクモホイクエン","","認可私立保育所","0117000","京都府","舞鶴市","字丸田","27-1","","35.460305","135.275176","","","","","(0773)82-0278","","(0773)82-0302","","","","6240955","","","","70","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000006","京都府舞鶴市","昭光保育園","ショウコウホイクエン","","認定こども園（幼保連携型）","0107000","京都府","舞鶴市","字浜","221","","35.475307","135.392849","","","","","(0773)63-4821","","(0773)62-1535","","","","6250036","","","","103","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000007","京都府舞鶴市","タンポポこども園","タンポポコドモエン","","認定こども園（幼保連携型）","0073000","京都府","舞鶴市","字泉源寺","223","","35.482001","135.414289","","","","","(0773)64-2762","","(0773)64-2763","","","","6250026","","","","90","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000008","京都府舞鶴市","さくらこども園","サクラコドモエン","","認定こども園（幼保連携型）","0153000","京都府","舞鶴市","七条中町","8-20","","35.460317","135.396825","","","","","(0773)62-6987","","(0773)64-0993","","","","6250054","","","","110","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000009","京都府舞鶴市","平こども園","タイラコドモエン","","認定こども園（幼保連携型）","0090000","京都府","舞鶴市","字中田","440-1","","35.516904","135.396951","","","","","(0773)68-0107","","(0773)60-5860","","","","6250132","","","","85","産休明けから","","","","","有","","","","","","無","","","","","","","","",""
"262021","A000000010","京都府舞鶴市","朝日幼稚園","アサヒヨウチエン","","認定こども園（幼保連携型）","0107000","京都府","舞鶴市","字浜","796","","35.472216","135.395751","","","","","(0773)62-1874","","(0773)62-7033","","","","6250036","","","","25","3歳から","","","","","無","","","","","","無","","","","","","","","",""
